HISTOGRAMA DE IMAGEN
====================

Total de pixeles: 262144

HISTOGRAMA CANAL RED (R)
------------------------
Valor 224: 502 pixeles
Valor 225: 485 pixeles
Valor 226: 922 pixeles
Valor 227: 483 pixeles
Valor 228: 486 pixeles
Valor 229: 894 pixeles
Valor 230: 806 pixeles
Valor 231: 423 pixeles
Valor 232: 399 pixeles
Valor 233: 685 pixeles
Valor 234: 386 pixeles
Valor 235: 359 pixeles
Valor 236: 688 pixeles
Valor 237: 379 pixeles
Valor 238: 394 pixeles
Valor 239: 909 pixeles
Valor 240: 1217 pixeles
Valor 241: 740 pixeles
Valor 242: 800 pixeles
Valor 243: 1809 pixeles
Valor 244: 935 pixeles
Valor 245: 941 pixeles
Valor 246: 1554 pixeles
Valor 247: 634 pixeles
Valor 248: 599 pixeles
Valor 249: 1063 pixeles
Valor 250: 876 pixeles
Valor 251: 856 pixeles
Valor 252: 413 pixeles
Valor 253: 399 pixeles
Valor 254: 861 pixeles
Valor 255: 4294 pixeles

HISTOGRAMA CANAL GREEN (G)
-------------------------
Valor   0: 172484 pixeles
Valor   1: 935 pixeles
Valor   2: 600 pixeles
Valor   3: 569 pixeles
Valor   4: 431 pixeles
Valor   5: 363 pixeles
Valor   6: 333 pixeles
Valor   7: 336 pixeles
Valor   8: 314 pixeles
Valor   9: 264 pixeles
Valor  10: 257 pixeles
Valor  11: 234 pixeles
Valor  12: 224 pixeles
Valor  13: 230 pixeles
Valor  14: 194 pixeles
Valor  15: 178 pixeles
Valor  16: 192 pixeles
Valor  17: 219 pixeles
Valor  18: 199 pixeles
Valor  19: 162 pixeles
Valor  20: 168 pixeles
Valor  21: 199 pixeles
Valor  22: 191 pixeles
Valor  23: 204 pixeles
Valor  24: 278 pixeles
Valor  25: 251 pixeles
Valor  26: 273 pixeles
Valor  27: 254 pixeles
Valor  28: 227 pixeles
Valor  29: 206 pixeles
Valor  30: 228 pixeles
Valor  31: 202 pixeles
Valor  32: 199 pixeles
Valor  33: 199 pixeles
Valor  34: 272 pixeles
Valor  35: 243 pixeles
Valor  36: 270 pixeles
Valor  37: 254 pixeles
Valor  38: 261 pixeles
Valor  39: 257 pixeles
Valor  40: 268 pixeles
Valor  41: 262 pixeles
Valor  42: 257 pixeles
Valor  43: 270 pixeles
Valor  44: 272 pixeles
Valor  45: 267 pixeles
Valor  46: 272 pixeles
Valor  47: 277 pixeles
Valor  48: 260 pixeles
Valor  49: 261 pixeles
Valor  50: 249 pixeles
Valor  51: 239 pixeles
Valor  52: 224 pixeles
Valor  53: 222 pixeles
Valor  54: 259 pixeles
Valor  55: 274 pixeles
Valor  56: 235 pixeles
Valor  57: 233 pixeles
Valor  58: 226 pixeles
Valor  59: 290 pixeles
Valor  60: 217 pixeles
Valor  61: 276 pixeles
Valor  62: 232 pixeles
Valor  63: 285 pixeles
Valor  64: 232 pixeles
Valor  65: 291 pixeles
Valor  66: 251 pixeles
Valor  67: 259 pixeles
Valor  68: 327 pixeles
Valor  69: 255 pixeles
Valor  70: 356 pixeles
Valor  71: 266 pixeles
Valor  72: 344 pixeles
Valor  73: 331 pixeles
Valor  74: 268 pixeles
Valor  75: 325 pixeles
Valor  76: 216 pixeles
Valor  77: 297 pixeles
Valor  78: 231 pixeles
Valor  79: 350 pixeles
Valor  80: 322 pixeles
Valor  81: 255 pixeles
Valor  82: 276 pixeles
Valor  83: 267 pixeles
Valor  84: 304 pixeles
Valor  85: 225 pixeles
Valor  86: 274 pixeles
Valor  87: 288 pixeles
Valor  88: 229 pixeles
Valor  89: 269 pixeles
Valor  90: 232 pixeles
Valor  91: 277 pixeles
Valor  92: 238 pixeles
Valor  93: 303 pixeles
Valor  94: 297 pixeles
Valor  95: 305 pixeles
